label,shape,transport,files,bytes,file_concurrency,segment_concurrency,segment_size,batch_size,keepalive,http2,proto,wall_ms,files_per_sec,mib_per_sec,errors,p50_ms,p95_ms,p99_ms,gen_ms,hash_ms,create_ms,put_ms,commit_ms,http_requests,first_error
put-c1,logs,put,5000,84809410,1,8,8388608,32,true,false,HTTP/1.1,32311,154.7460,2.5032,0,5.6580,11.5310,20.3100,31.5,0.0,0.0,32305.1,0.0,5000,
put-c1,logs,put,5000,84809410,1,8,8388608,32,true,false,HTTP/1.1,28382,176.1633,2.8496,0,5.2350,8.5960,13.3720,24.9,0.0,0.0,28377.3,0.0,5000,
put-c8,logs,put,5000,84809410,8,8,8388608,32,true,false,HTTP/1.1,9197,543.6465,8.7941,0,12.9760,24.6270,40.6250,24.9,0.0,0.0,73479.8,0.0,5000,
put-c8,logs,put,5000,84809410,8,8,8388608,32,true,false,HTTP/1.1,8758,570.8874,9.2347,0,12.6110,23.1760,32.8210,25.6,0.0,0.0,69982.8,0.0,5000,
put-c32,logs,put,5000,84809410,32,8,8388608,32,true,false,HTTP/1.1,7948,629.0412,10.1754,1,36.7120,139.2140,211.7860,35.0,0.0,0.0,252927.3,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087047168349048/2026-07-04/host-03/app-000003.log: status 404: {""error"":""not found""}"
put-c32,logs,put,5000,84809410,32,8,8388608,32,true,false,HTTP/1.1,6281,795.9855,12.8759,1,31.8860,105.1520,158.1240,26.2,0.0,0.0,200120.7,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087057292068469/2026-07-03/host-02/app-000002.log: status 404: {""error"":""not found""}"
put-c64,logs,put,5000,84809410,64,8,8388608,32,true,false,HTTP/1.1,6408,780.1780,12.6202,3,66.0670,213.1950,284.0390,31.8,0.0,0.0,406710.6,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087065917197501/2026-07-07/host-14/app-000062.log: status 404: {""error"":""not found""}"
put-c64,logs,put,5000,84809410,64,8,8388608,32,true,false,HTTP/1.1,6137,814.6182,13.1774,33,64.8880,184.1540,260.2580,29.6,0.0,0.0,386206.2,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087074330097921/2026-07-08/host-03/app-000035.log: status 404: {""error"":""not found""}"
put-c128,logs,put,5000,84809410,128,8,8388608,32,true,false,HTTP/1.1,6738,741.9764,12.0023,22,140.2840,399.5210,583.0070,27.3,0.0,0.0,845103.3,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087082929072384/2026-07-16/host-11/app-000043.log: status 404: {""error"":""not found""}"
put-c128,logs,put,5000,84809410,128,8,8388608,32,true,false,HTTP/1.1,9165,545.5418,8.8247,95,148.5260,735.6840,1164.4580,39.5,0.0,0.0,1130986.9,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087092174886888/2026-07-02/host-09/app-000057.log: status 404: {""error"":""not found""}"
